,name
641,TWD/CLP
642,VES/CLP
643,ZAR/CLP
644,CLP/PYG
645,CLP/UYU
646,CLP/COP
647,CLP/PEN
648,PYG/CLP
649,UYU/CLP
650,COP/CLP
651,PEN/CLP
652,CLP/MXN
653,CLP/VES
654,CLP/USD
655,USD/CNH
656,CNY/CNH
657,CNY/DKK
658,CNY/HKD
659,CNY/JPY
660,CNY/ZAR
661,DKK/CNY
662,EUR/CNY
663,GBP/CNY
664,HKD/CNY
665,IDR/CNY
666,INR/CNY
667,JPY/CNY
668,KRW/CNY
669,MYR/CNY
670,NZD/CNY
671,SGD/CNY
672,THB/CNY
673,TWD/CNY
674,USD/CNY
675,ZAR/CNY
676,CNY/CZK
677,CNY/EGP
678,CNY/EUR
679,CNY/GBP
680,CNY/HUF
681,CNY/IDR
682,CNY/ILS
683,CNY/INR
684,CNY/ISK
685,CNY/JMD
686,CNY/JOD
687,CNY/KES
688,CNY/KRW
689,CNY/LBP
690,CNY/LKR
691,CNY/MAD
692,CNY/MXN
693,CNY/MYR
694,CNY/NAD
695,CNY/NOK
696,CNY/NPR
697,CNY/NZD
698,CNY/OMR
699,CNY/PAB
700,CNY/PHP
701,CNY/PKR
702,CNY/PLN
703,CNY/QAR
704,CNY/RON
705,CNY/RUB
706,CNY/SAR
707,CNY/SEK
708,CNY/SGD
709,CNY/THB
710,CNY/TRY
711,CNY/USD
712,CNY/VES
713,CNY/XAF
714,CNY/XCD
715,CNY/TWD
716,ILS/CNY
717,MXN/CNY
718,NOK/CNY
719,PHP/CNY
720,PLN/CNY
721,RUB/CNY
722,SAR/CNY
723,SEK/CNY
724,TRY/CNY
725,VES/CNY
726,CNY/UAH
727,KWD/CNY
728,CNY/RUB
729,CNY/MNT
730,DKK/COP
731,EUR/COP
732,GBP/COP
733,USD/COP
734,PYG/COP
735,COP/PYG
736,UYU/COP
737,COP/UYU
738,COP/PEN
739,PEN/COP
740,COP/MXN
741,MXN/COP
742,VES/COP
743,COP/VES
744,COP/USD
745,ILS/COP
746,EUR/CRC
747,GBP/CRC
748,USD/CRC
749,EUR/CUP
750,USD/CUP
751,EUR/CVE
752,NZD/CZK
753,DKK/CZK
754,PLN/CZK
755,USD/CZK
756,CZK/HUF
757,GBP/CZK
758,CZK/JPY
759,EUR/CZK
760,CZK/SEK
761,SEK/CZK
762,HKD/CZK
763,ILS/CZK
764,INR/CZK
765,ISK/CZK
766,JPY/CZK
767,MXN/CZK
768,NOK/CZK
769,PHP/CZK
770,PKR/CZK
771,RUB/CZK
772,SAR/CZK
773,SGD/CZK
774,THB/CZK
775,TRY/CZK
776,TWD/CZK
777,VES/CZK
778,ZAR/CZK
779,CZK/ILS
780,CZK/PLN
781,CZK/RUB
782,CZK/RUB
783,EUR/DJF
784,GBP/DJF
785,USD/DJF
786,USD/DKK
787,EUR/DKK
788,NZD/DKK
789,DKK/HUF
790,DKK/PLN
791,DKK/SEK
792,NOK/DKK
793,DKK/JPY
794,DKK/SGD
795,DKK/ZAR
796,DKK/THB
797,GBP/DKK
798,DKK/HKD
799,DKK/INR
800,DKK/MXN
801,DKK/MYR
802,DKK/NOK
